Timestamp,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max,POW.AF3.Theta,POW.AF3.Alpha,POW.AF3.BetaL,POW.AF3.BetaH,POW.AF3.Gamma,POW.F7.Theta,POW.F7.Alpha,POW.F7.BetaL,POW.F7.BetaH,POW.F7.Gamma,POW.F3.Theta,POW.F3.Alpha,POW.F3.BetaL,POW.F3.BetaH,POW.F3.Gamma,POW.FC5.Theta,POW.FC5.Alpha,POW.FC5.BetaL,POW.FC5.BetaH,POW.FC5.Gamma,POW.T7.Theta,POW.T7.Alpha,POW.T7.BetaL,POW.T7.BetaH,POW.T7.Gamma,POW.P7.Theta,POW.P7.Alpha,POW.P7.BetaL,POW.P7.BetaH,POW.P7.Gamma,POW.O1.Theta,POW.O1.Alpha,POW.O1.BetaL,POW.O1.BetaH,POW.O1.Gamma,POW.O2.Theta,POW.O2.Alpha,POW.O2.BetaL,POW.O2.BetaH,POW.O2.Gamma,POW.P8.Theta,POW.P8.Alpha,POW.P8.BetaL,POW.P8.BetaH,POW.P8.Gamma,POW.T8.Theta,POW.T8.Alpha,POW.T8.BetaL,POW.T8.BetaH,POW.T8.Gamma,POW.FC6.Theta,POW.FC6.Alpha,POW.FC6.BetaL,POW.FC6.BetaH,POW.FC6.Gamma,POW.F4.Theta,POW.F4.Alpha,POW.F4.BetaL,POW.F4.BetaH,POW.F4.Gamma,POW.F8.Theta,POW.F8.Alpha,POW.F8.BetaL,POW.F8.BetaH,POW.F8.Gamma,POW.AF4.Theta,POW.AF4.Alpha,POW.AF4.BetaL,POW.AF4.BetaH,POW.AF4.Gamma,X,Y
1683182010,18,0,0.474777,0.362122,-0.630737,0.495605,0.955195,-0.278843,-0.047857,-32.893143,-7.208697,75.325356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.2147455,564.9797008
1683182010,19,0,0.474714,0.362122,-0.630737,0.495667,0.955195,-0.278843,-0.047857,-32.898445,-7.462378,75.211876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.2147455,564.9797008
1683182010,20,0,0.474807,0.362,-0.630737,0.495667,0.945428,-0.285191,-0.056159,-32.962742,-7.597859,75.401619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.261237,0.253075,0.558602,0.204652,0.081136,1.142649,0.942734,1.174038,0.397259,0.167575,1.419325,0.27542,0.3858,0.160745,0.109369,0.497352,0.399859,0.489261,0.183924,0.115142,0.322499,0.332195,0.107783,0.088536,0.054425,0.451237,0.399524,0.181035,0.203962,0.05125,0.335959,0.32969,0.082622,0.200722,0.055395,1.699558,0.375389,0.148059,0.205276,0.069368,1.417499,0.707861,0.204086,0.210815,0.116818,1.852897,0.550731,0.272261,0.164146,0.149124,2.533483,0.650667,0.409012,0.223117,0.120031,3.075653,0.444432,0.728559,0.235653,0.163052,3.885254,0.774531,0.278921,0.235763,0.116033,1.839391,0.311018,0.437545,0.17743,0.124757,829.5004826,533.0822493
1683182010,21,0,0.474951,0.362061,-0.630737,0.495483,0.945428,-0.285191,-0.056159,-33.01482,-7.7076,75.555313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.5004826,533.0822493
1683182010,22,0,0.474905,0.362122,-0.630737,0.495483,0.942986,-0.276401,-0.056648,-32.995338,-7.718156,75.479797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,829.5004826,533.0822493
1683182010,23,0,0.475032,0.362061,-0.630676,0.495483,0.942986,-0.276401,-0.056648,-32.862888,-7.793373,75.568642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859.2827353,491.583704
1683182010,24,0,0.475218,0.361816,-0.630676,0.495483,0.946893,-0.275913,-0.065438,-32.872272,-7.492632,75.573929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.506169,0.259238,0.553803,0.240051,0.083772,1.286433,1.146077,1.378658,0.467127,0.190971,1.676889,0.254027,0.366259,0.175362,0.120808,0.558202,0.427543,0.571253,0.226887,0.123634,0.276207,0.335836,0.132158,0.098253,0.054932,0.365876,0.322937,0.183071,0.265509,0.05338,0.367889,0.300337,0.093676,0.236871,0.05941,1.972752,0.317273,0.127611,0.22092,0.069258,1.534321,0.505891,0.213475,0.232656,0.118069,1.854573,0.500681,0.27912,0.171434,0.148727,2.860288,0.609513,0.359581,0.234775,0.120717,3.849262,0.405167,0.649287,0.282889,0.182889,4.240507,0.886225,0.264656,0.251372,0.106071,2.195416,0.349682,0.401468,0.197894,0.122109,859.2827353,491.583704
1683182010,25,0,0.475341,0.361572,-0.630676,0.495544,0.946893,-0.275913,-0.065438,-32.879875,-7.249032,75.578217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.5910167,466.2392914
1683182010,26,0,0.47526,0.361572,-0.630737,0.495544,0.935661,-0.280308,-0.058601,-32.839367,-7.430049,75.535019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.5910167,466.2392914
1683182010,27,0,0.47537,0.361511,-0.630737,0.495483,0.935661,-0.280308,-0.058601,-32.806553,-7.576673,75.500038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881.5910167,466.2392914
